state,city,revenue,profit,orders
Haryana,Gurugram,123941483.24,33053407.16,24627
Karnataka,Bengaluru,115834176.75,31196325.61,22165
Kerala,Kochi,104154587.69,27707122.89,20220
Delhi,Delhi,88467289.62,23598239.31,17611
West Bengal,Kolkata,86682536.97,23092857.73,17328
Bihar,Patna,78377059.67,20924889.62,15120
Maharashtra,Pune,77788272.21,20762919.55,15191
Rajasthan,Jaipur,77032836.35,20555437.05,14948
Uttar Pradesh,Noida,76369405.88,20261580.95,15111
Tamil Nadu,Coimbatore,74643366.8,19993833.05,15075
Gujarat,Surat,74444975.78,20054676.84,15004
Maharashtra,Nagpur,73562368.81,19706986.85,14790
Gujarat,Ahmedabad,64516750.59,17180108.41,12521
Madhya Pradesh,Bhopal,63756161.42,16796512.82,12696
Tamil Nadu,Chennai,63667027.28,16850772.16,12642
Madhya Pradesh,Indore,63124461.91,16824743.89,12565
Maharashtra,Mumbai,62962702.02,16823928.8,12571
Punjab,Chandigarh,61725536.51,16460039.15,12364
Uttar Pradesh,Lucknow,49219115.64,13272354.34,9979
Telangana,Hyderabad,36747141.86,9705535.26,7472
