year,month,month_name,revenue,profit,orders,quantity_sold
2024,1,January,64019278.14,16965577.65,12723,22287
2024,2,February,61074100.04,16316267.15,11922,21079
2024,3,March,63643837.32,17220926.02,12483,21783
2024,4,April,60795962.48,16018603.86,12343,21523
2024,5,May,65812787.28,17719040.09,12733,22599
2024,6,June,62416883.25,16722753.54,12567,22017
2024,7,July,60139258.14,16102234.35,12541,21802
2024,8,August,66553141.42,17778920.92,12788,22544
2024,9,September,61159371.14,16515948.1,12480,21986
2024,10,October,64746565.01,17419001.06,12960,22934
2024,11,November,60603914.69,16228535.2,12205,21489
2024,12,December,63257004.01,16795464.14,12573,21985
2025,1,January,64053193.07,16945932.95,12779,22437
2025,2,February,57010943.04,15110181.62,11476,20146
2025,3,March,65026356.04,17408002.5,12875,22662
2025,4,April,63265082.96,16820810.25,12377,21810
2025,5,May,66238479.39,17744680.37,12757,22427
2025,6,June,60667961.01,15932436.83,12290,21733
2025,7,July,65252577.95,17480205.79,12727,22378
2025,8,August,65455585.76,17496548.62,12730,22418
2025,9,September,65245008.5,17297322.17,12237,21640
2025,10,October,65485947.38,17446197.53,12604,22194
2025,11,November,64172055.88,17133328.83,12459,21721
2025,12,December,60921963.1,16203351.9,12371,21532
