customer_id,customer_name,gender,age,city,segment,signup_date,state
100001,Customer_100001,Male,26,Bhopal,Regular,2023-11-27,Madhya Pradesh
100002,Customer_100002,Female,53,Lucknow,Premium,2024-04-24,Uttar Pradesh
100003,Customer_100003,Female,23,Chandigarh,New,2023-05-30,Punjab
100004,Customer_100004,Female,41,Pune,New,2023-03-20,Maharashtra
100005,Customer_100005,Male,43,Jaipur,Regular,2023-08-10,Rajasthan
100006,Customer_100006,Male,51,Lucknow,Regular,2021-05-07,Uttar Pradesh
100007,Customer_100007,Male,18,Coimbatore,New,2023-11-13,Tamil Nadu
100008,Customer_100008,Female,40,Kolkata,Regular,2023-09-10,West Bengal
100009,Customer_100009,Female,34,Pune,Regular,2023-09-15,Maharashtra
100010,Customer_100010,Female,53,Bhopal,Regular,2022-03-01,Madhya Pradesh
100011,Customer_100011,Male,54,Pune,Regular,2021-09-07,Maharashtra
100012,Customer_100012,Female,62,Patna,Premium,2021-03-18,Bihar
100013,Customer_100013,Female,37,Chandigarh,New,2024-10-09,Punjab
100014,Customer_100014,Male,43,Chennai,Premium,2022-08-12,Tamil Nadu
100015,Customer_100015,Male,28,Gurugram,New,2021-11-23,Haryana
100016,Customer_100016,Male,37,Nagpur,Regular,2022-11-23,Maharashtra
100017,Customer_100017,Male,18,Mumbai,Premium,2022-01-16,Maharashtra
100018,Customer_100018,Male,61,Chennai,Regular,2022-04-06,Tamil Nadu
100019,Customer_100019,Male,30,Noida,New,2021-10-15,Uttar Pradesh
100020,Customer_100020,Male,53,Delhi,Regular,2022-12-09,Delhi
100021,Customer_100021,Female,61,Jaipur,New,2022-01-24,Rajasthan
100022,Customer_100022,Male,55,Hyderabad,New,2023-07-04,Telangana
100023,Customer_100023,Male,30,Delhi,Regular,2024-10-12,Delhi
100024,Customer_100024,Male,31,Indore,New,2023-07-28,Madhya Pradesh
100025,Customer_100025,Male,29,Chennai,Premium,2021-01-03,Tamil Nadu
100026,Customer_100026,Female,51,Lucknow,Premium,2021-06-05,Uttar Pradesh
100027,Customer_100027,Male,44,Jaipur,Premium,2021-06-08,Rajasthan
100028,Customer_100028,Male,29,Pune,Premium,2024-11-20,Maharashtra
100029,Customer_100029,Female,55,Kochi,Regular,2021-12-24,Kerala
100030,Customer_100030,Male,53,Bhopal,New,2024-12-12,Madhya Pradesh
100031,Customer_100031,Female,18,Chandigarh,Dormant,2023-09-18,Punjab
100032,Customer_100032,Male,43,Hyderabad,Dormant,2022-08-15,Telangana
100033,Customer_100033,Male,57,Bhopal,Dormant,2022-04-08,Madhya Pradesh
100034,Customer_100034,Female,57,Hyderabad,Regular,2024-06-13,Telangana
100035,Customer_100035,Female,38,Bengaluru,Regular,2021-10-31,Karnataka
100036,Customer_100036,Female,49,Gurugram,New,2021-07-12,Haryana
100037,Customer_100037,Male,42,Chandigarh,Regular,2022-09-18,Punjab
100038,Customer_100038,Male,29,Jaipur,Regular,2022-11-24,Rajasthan
100039,Customer_100039,Female,42,Surat,New,2022-07-04,Gujarat
100040,Customer_100040,Male,43,Patna,Premium,2024-11-06,Bihar
100041,Customer_100041,Male,53,Chennai,New,2024-08-14,Tamil Nadu
100042,Customer_100042,Male,33,Nagpur,Premium,2024-08-06,Maharashtra
100043,Customer_100043,Male,31,Chennai,New,2021-01-18,Tamil Nadu
100044,Customer_100044,Female,63,Bhopal,New,2023-07-19,Madhya Pradesh
100045,Customer_100045,Male,51,Lucknow,New,2021-11-13,Uttar Pradesh
100046,Customer_100046,Female,41,Delhi,Premium,2024-11-04,Delhi
100047,Customer_100047,Male,25,Bengaluru,Regular,2021-10-01,Karnataka
100048,Customer_100048,Male,44,Kochi,Premium,2021-07-09,Kerala
100049,Customer_100049,Female,56,Mumbai,Regular,2021-11-21,Maharashtra
100050,Customer_100050,Male,30,Chennai,Dormant,2022-08-23,Tamil Nadu
100051,Customer_100051,Female,46,Delhi,Premium,2021-04-21,Delhi
100052,Customer_100052,Female,48,Nagpur,Regular,2022-11-21,Maharashtra
100053,Customer_100053,Female,60,Delhi,Premium,2022-12-20,Delhi
100054,Customer_100054,Female,36,Coimbatore,New,2022-05-28,Tamil Nadu
100055,Customer_100055,Female,27,Jaipur,Dormant,2024-01-18,Rajasthan
100056,Customer_100056,Female,60,Bengaluru,Regular,2024-08-25,Karnataka
100057,Customer_100057,Male,65,Noida,Regular,2023-06-18,Uttar Pradesh
100058,Customer_100058,Male,57,Ahmedabad,New,2022-09-15,Gujarat
100059,Customer_100059,Male,51,Ahmedabad,Premium,2023-03-17,Gujarat
100060,Customer_100060,Male,63,Nagpur,New,2024-05-24,Maharashtra
100061,Customer_100061,Male,60,Bhopal,New,2024-02-09,Madhya Pradesh
100062,Customer_100062,Male,18,Gurugram,Regular,2022-10-24,Haryana
100063,Customer_100063,Female,36,Indore,Regular,2022-09-18,Madhya Pradesh
100064,Customer_100064,Male,18,Hyderabad,New,2023-10-14,Telangana
100065,Customer_100065,Male,41,Gurugram,Premium,2022-01-07,Haryana
100066,Customer_100066,Female,42,Indore,Premium,2023-09-13,Madhya Pradesh
100067,Customer_100067,Male,21,Ahmedabad,Regular,2022-07-20,Gujarat
100068,Customer_100068,Female,41,Kochi,Regular,2024-11-04,Kerala
100069,Customer_100069,Male,56,Coimbatore,Regular,2023-07-01,Tamil Nadu
100070,Customer_100070,Female,37,Gurugram,New,2021-03-26,Haryana
100071,Customer_100071,Female,50,Ahmedabad,Regular,2021-07-01,Gujarat
100072,Customer_100072,Male,45,Ahmedabad,Regular,2023-05-31,Gujarat
100073,Customer_100073,Male,60,Pune,Premium,2021-12-24,Maharashtra
100074,Customer_100074,Female,62,Kochi,Regular,2021-12-14,Kerala
100075,Customer_100075,Female,52,Mumbai,Premium,2022-09-10,Maharashtra
100076,Customer_100076,Female,41,Patna,Regular,2023-03-14,Bihar
100077,Customer_100077,Female,57,Hyderabad,Regular,2021-08-09,Telangana
100078,Customer_100078,Male,61,Chandigarh,Premium,2022-03-13,Punjab
100079,Customer_100079,Male,19,Patna,Regular,2023-06-03,Bihar
100080,Customer_100080,Male,40,Delhi,New,2022-09-10,Delhi
100081,Customer_100081,Female,50,Bengaluru,Regular,2022-05-02,Karnataka
100082,Customer_100082,Female,31,Bengaluru,New,2024-08-07,Karnataka
100083,Customer_100083,Male,32,Noida,Regular,2022-02-01,Uttar Pradesh
100084,Customer_100084,Male,49,Delhi,Regular,2024-10-15,Delhi
100085,Customer_100085,Male,40,Noida,Regular,2024-07-07,Uttar Pradesh
100086,Customer_100086,Male,21,Gurugram,Regular,2021-03-05,Haryana
100087,Customer_100087,Female,37,Bengaluru,New,2021-12-31,Karnataka
100088,Customer_100088,Female,48,Nagpur,New,2023-06-12,Maharashtra
100089,Customer_100089,Female,24,Surat,Regular,2024-09-02,Gujarat
100090,Customer_100090,Male,18,Indore,Regular,2024-11-10,Madhya Pradesh
100091,Customer_100091,Male,22,Patna,Premium,2024-06-09,Bihar
100092,Customer_100092,Female,31,Chennai,New,2021-10-23,Tamil Nadu
100093,Customer_100093,Female,47,Bhopal,Regular,2024-09-19,Madhya Pradesh
100094,Customer_100094,Female,55,Gurugram,Regular,2022-10-27,Haryana
100095,Customer_100095,Female,40,Kolkata,Regular,2023-04-15,West Bengal
100096,Customer_100096,Male,24,Gurugram,New,2022-02-02,Haryana
100097,Customer_100097,Male,61,Gurugram,Regular,2021-10-19,Haryana
100098,Customer_100098,Male,56,Lucknow,Regular,2024-12-02,Uttar Pradesh
100099,Customer_100099,Male,33,Ahmedabad,Regular,2022-09-04,Gujarat
100100,Customer_100100,Male,26,Chandigarh,New,2021-08-06,Punjab
100101,Customer_100101,Male,56,Lucknow,Regular,2023-08-25,Uttar Pradesh
100102,Customer_100102,Female,63,Delhi,Regular,2022-08-11,Delhi
100103,Customer_100103,Male,51,Chennai,Regular,2021-09-03,Tamil Nadu
100104,Customer_100104,Male,48,Chandigarh,Regular,2021-09-13,Punjab
100105,Customer_100105,Female,62,Delhi,Regular,2023-08-11,Delhi
100106,Customer_100106,Male,24,Jaipur,Regular,2023-06-12,Rajasthan
100107,Customer_100107,Male,19,Chandigarh,Dormant,2021-12-18,Punjab
100108,Customer_100108,Female,23,Chennai,New,2022-05-08,Tamil Nadu
100109,Customer_100109,Male,61,Lucknow,Regular,2024-07-04,Uttar Pradesh
100110,Customer_100110,Male,51,Surat,Regular,2023-04-09,Gujarat
100111,Customer_100111,Male,34,Bhopal,Regular,2023-05-22,Madhya Pradesh
100112,Customer_100112,Male,43,Pune,Regular,2024-11-12,Maharashtra
100113,Customer_100113,Female,29,Patna,Regular,2023-02-01,Bihar
100114,Customer_100114,Female,37,Hyderabad,New,2021-11-17,Telangana
100115,Customer_100115,Female,58,Kochi,New,2024-01-18,Kerala
