return_id,order_id,return_date,return_reason,refund_amount
300001,9000024,2025-01-24,Wrong Item,2106.11
300002,9000039,2024-10-24,Wrong Item,5197.97
300003,9000041,2024-11-20,Quality Issue,736.69
300004,9000061,2024-10-30,Damaged,1163.22
300005,9000115,2025-09-16,Changed Mind,932.99
300006,9000116,2025-08-28,Late Delivery,2540.84
300007,9000117,2024-04-02,Wrong Item,1121.65
300008,9000151,2025-12-13,Quality Issue,725.4
300009,9000155,2025-04-03,Damaged,312.84
300010,9000179,2025-02-16,Changed Mind,2076.13
300011,9000181,2025-11-20,Late Delivery,578.68
300012,9000197,2025-02-19,Changed Mind,3298.48
300013,9000198,2025-08-09,Wrong Item,811.12
300014,9000228,2025-04-30,Wrong Item,1564.4
300015,9000244,2024-11-03,Wrong Item,1076.87
300016,9000274,2024-03-13,Damaged,800.32
300017,9000277,2025-09-15,Damaged,560.93
300018,9000291,2025-07-16,Late Delivery,2251.13
300019,9000313,2024-02-06,Quality Issue,1371.04
300020,9000342,2024-11-20,Wrong Item,7708.24
300021,9000369,2024-04-03,Quality Issue,859.68
300022,9000370,2025-08-25,Damaged,971.72
300023,9000384,2024-10-13,Damaged,1215.09
300024,9000405,2024-11-20,Damaged,3287.23
300025,9000414,2025-09-20,Late Delivery,368.81
300026,9000419,2025-05-09,Quality Issue,296.5
300027,9000427,2025-11-26,Quality Issue,6097.79
300028,9000429,2024-02-25,Late Delivery,4622.61
300029,9000437,2024-05-24,Changed Mind,55469.24
300030,9000473,2025-07-17,Changed Mind,625.29
300031,9000475,2025-07-10,Wrong Item,607.37
300032,9000480,2024-12-08,Late Delivery,885.19
300033,9000495,2024-12-04,Late Delivery,17348.91
300034,9000544,2025-09-04,Wrong Item,5682.1
300035,9000577,2024-11-28,Wrong Item,3788.87
300036,9000609,2024-03-12,Changed Mind,1151.16
300037,9000620,2024-05-29,Changed Mind,2451.14
300038,9000623,2024-11-07,Late Delivery,2691.52
300039,9000624,2024-04-13,Changed Mind,1927.95
300040,9000629,2025-01-20,Late Delivery,3853.56
300041,9000637,2025-06-09,Late Delivery,1505.67
300042,9000647,2024-02-15,Quality Issue,1368.8
300043,9000652,2025-12-25,Late Delivery,6150.67
300044,9000667,2024-11-08,Late Delivery,1248.32
300045,9000682,2025-06-18,Changed Mind,1141.71
300046,9000719,2025-09-22,Changed Mind,789.77
300047,9000723,2024-08-08,Damaged,2813.67
300048,9000726,2025-07-02,Changed Mind,1610.22
300049,9000729,2025-03-05,Late Delivery,2649.55
300050,9000735,2025-03-01,Changed Mind,1703.88
300051,9000750,2024-08-09,Wrong Item,2611.46
300052,9000767,2025-05-24,Damaged,30993.02
300053,9000779,2024-06-02,Late Delivery,12453.13
300054,9000828,2024-02-23,Damaged,20203.48
300055,9000849,2026-01-08,Damaged,737.34
300056,9000852,2025-01-02,Quality Issue,10361.26
300057,9000887,2025-12-22,Changed Mind,1157.26
300058,9000893,2024-02-26,Damaged,6137.82
300059,9000894,2024-04-27,Changed Mind,1461.66
300060,9000895,2024-09-28,Wrong Item,3159.48
300061,9000910,2024-05-02,Late Delivery,1850.82
300062,9000931,2024-10-26,Wrong Item,1256.84
300063,9000934,2025-11-28,Damaged,3732.02
300064,9000970,2024-06-12,Quality Issue,505.49
300065,9000979,2024-06-21,Wrong Item,4365.38
300066,9001032,2024-10-15,Late Delivery,2874.73
300067,9001039,2025-06-06,Changed Mind,9738.45
300068,9001059,2025-09-28,Late Delivery,8229.2
300069,9001063,2025-03-31,Late Delivery,664.66
300070,9001075,2024-02-13,Changed Mind,1679.38
300071,9001127,2024-01-27,Damaged,803.98
300072,9001129,2024-08-11,Changed Mind,3885.41
300073,9001137,2025-02-10,Quality Issue,2916.98
300074,9001178,2024-02-03,Changed Mind,3606.45
300075,9001188,2025-05-20,Wrong Item,84.15
300076,9001190,2025-07-07,Wrong Item,18556.72
300077,9001219,2024-03-28,Damaged,3249.18
300078,9001221,2024-12-02,Late Delivery,3916.79
300079,9001279,2025-10-27,Damaged,3289.28
300080,9001301,2025-02-11,Wrong Item,714.76
300081,9001308,2025-03-24,Damaged,18578.03
300082,9001311,2024-09-01,Wrong Item,1288.3
300083,9001341,2025-05-02,Wrong Item,2384.68
300084,9001372,2025-08-23,Changed Mind,1153.88
300085,9001389,2024-03-29,Quality Issue,2133.88
300086,9001400,2025-12-11,Wrong Item,6792.4
300087,9001421,2025-11-14,Changed Mind,36524.02
300088,9001454,2024-09-09,Damaged,11272.92
300089,9001475,2024-10-01,Changed Mind,3593.55
300090,9001476,2024-06-22,Changed Mind,2090.01
300091,9001520,2024-02-01,Changed Mind,496.17
300092,9001526,2024-08-12,Changed Mind,3146.12
300093,9001547,2024-04-08,Changed Mind,880.0
